feature;Variance;rMID_per_Score;FScore;Lasso_importance;Correlation
Sand;194.64093407198501;0.07149976026033089;62.51169552796811;0.00153990067027358;-0.34755261039122487
Clay;146.02643479260135;0.09513936671376344;38.47026195121916;0.0;0.27921071374827244
Silt;73.42663627788498;0.0;13.889703022565051;0.0001492455677873988;0.1721119924667799
scE_400;0.021241949700481613;0.05723713062104974;0.26229483688732913;0.0;0.024002917328618673
scE_408.5;0.02030303851481588;0.10030872815385417;0.012587185100898858;0.0;0.0052595986344264375
scE_417;0.019757910177136732;0.13840629627362722;0.0344019512753301;0.0;-0.008694996715392183
scE_425.5;0.019273089795197648;0.10320642452125339;0.22332355171398846;0.0;-0.022149045255143062
scE_434;0.018889803533141614;0.05342592470329377;0.5645770411887491;0.0;-0.03520356394267987
scE_442.5;0.018670917844709364;0.024386621832711786;0.9967430791654104;0.0;-0.04675313570317751
scE_451;0.018485369180941454;0.024746637142176287;1.411737315502748;0.0;-0.05561584562237109
scE_459.5;0.018319921786295896;0.012016376201934964;1.7117986846956093;0.0;-0.0612216779564404
scE_468;0.0182406256822201;0.008815558744397212;1.8704244790282323;0.0;-0.06398432111607806
scE_476.5;0.01825930129543384;0.007912186535218968;1.8507673620152576;0.0;-0.06364858260032256
scE_485;0.01845413470773595;0.011586424824413744;1.582943919053891;0.0;-0.05888069430317867
scE_493.5;0.01887311361408439;0.022571667824542896;1.1594888023117582;0.0;-0.0504167588610333
scE_502;0.019455759882875578;0.05381145068792348;0.7380480292509287;0.0;-0.040242473664898255
scE_510.5;0.020176782039045153;0.05675794741829332;0.3968440460998626;0.0;-0.02951990300493983
scE_519;0.021026604181869513;0.053665536270880665;0.15361701667640157;0.0;-0.018371332782402713
scE_527.5;0.02201270999244488;0.0783008368415321;0.019545421889004606;0.0;-0.00655401601787136
scE_536;0.023097051896851226;0.08291554844770932;0.013713029525055506;0.0;0.00548977395939906
scE_544.5;0.0242545708491211;0.07340710768156189;0.13758386783125487;0.0;0.017386509706977346
