feature;Variance;rMID_per_Score;FScore;Lasso_importance;Correlation
Sand;194.64093407198501;0.036026536240811424;5.531500970403126;0.0002262327679828269;-0.10959527368353897
Clay;146.02643479260135;0.062325338556888266;5.986940985664192;0.0009248528734619306;0.11396150533631946
Silt;73.42663627788498;0.022067631352028716;0.14298336552918042;0.0;0.01772428936518815
scE_400;0.021241949700481613;0.06728964178113861;1.861930855041719;0.0;0.06383947238017018
scE_408.5;0.02030303851481588;0.0;1.648248099221307;0.0;0.060078681623201895
scE_417;0.019757910177136732;0.0;1.5171822674307496;0.0;0.05764880576776576
scE_425.5;0.019273089795197648;0.0;1.4828992315663283;0.0;0.05699589316611279
scE_434;0.018889803533141614;0.0;1.4986688010964002;0.0;0.0572971572665866
scE_442.5;0.018670917844709364;0.0;1.5360156694518874;0.0;0.05800431480556335
scE_451;0.018485369180941454;0.009016461352011618;1.510268821787851;0.0;0.05751774524097467
scE_459.5;0.018319921786295896;0.014304195412540466;1.4544296985968852;0.0;0.05644788235168743
scE_468;0.0182406256822201;0.013028428373917933;1.405274056911178;0.0;0.05548878138789019
scE_476.5;0.01825930129543384;0.0;1.4159289710642258;0.0;0.055698094471975455
scE_485;0.01845413470773595;0.005628732670199366;1.5142570280544398;0.0;0.05759338789928827
scE_493.5;0.01887311361408439;0.0050155630221238034;1.716309695305218;0.0;0.06130198922873249
scE_502;0.019455759882875578;0.0;2.003693068207978;0.0;0.06621490237096946
scE_510.5;0.020176782039045153;0.0;2.340742670863617;0.0;0.07154131024444317
scE_519;0.021026604181869513;0.0;2.704651647944531;0.0;0.07687108401874673
scE_527.5;0.02201270999244488;0.0;3.0804566124314867;0.0;0.08200430765830166
scE_536;0.023097051896851226;0.0;3.430356406636614;0.0;0.08650335231940157
scE_544.5;0.0242545708491211;0.0;3.726424922017335;0.0;0.09012998705199556
scE_553;0.025443706154112823;0.0;3.9626181678060743;0.0;0.09291855685225109
scE_561.5;0.026595523134799588;0.0;4.142232994284163;0.0;0.09498250973187145
