feature;Variance;rMID_per_Score;FScore;Lasso_importance;Correlation
Sand;194.4132946967216;0.09160822175213257;4.119130698417579;0.002136690631930381;0.09451401571625918
Clay;145.4080738177624;0.052239354124060444;0.6451716789593085;7.46497363874706e-05;-0.0375468238426008
Silt;73.53493509144155;0.0;4.698587916148805;0.0;-0.10087984483601059
scE_400;0.021284167679967356;0.0;0.8806308938662599;0.0;0.043855172366277125
scE_408.5;0.02035048740077677;0.025284463142769997;0.8125042873240501;0.0;0.042127821869721416
scE_417;0.019811258092600696;0.004640236465154768;0.740100706700507;0.0;0.04021017183578603
scE_425.5;0.019334535394477288;0.0;0.652263764076705;0.0;0.037752335051786996
scE_434;0.01896094424225928;0.0;0.5415905186257091;0.0;0.0344048950660586
scE_442.5;0.0187497957821966;0.0;0.4204834708698575;0.0;0.030319124747147326
scE_451;0.01856574872354312;0.0;0.3308300911438318;0.0;0.026895973149531373
scE_459.5;0.018397990941420316;0.0;0.27938469134394117;0.0;0.024717838562708157
scE_468;0.018316354991748367;0.0;0.26240038451219516;0.0;0.02395518270978435
scE_476.5;0.018334985295246523;0.0;0.26686051951009243;0.0;0.024157795447162678
scE_485;0.018532256734304895;0.0;0.2844179265151655;0.0;0.02493935869066124
scE_493.5;0.018955458695152028;0.0;0.29758995635813135;0.0;0.0255099541812279
scE_502;0.01954330057637874;0.0;0.30536078154220336;0.0;0.02584065292980732
scE_510.5;0.020269325397542257;0.0;0.3061593597776836;0.0;0.025874397459087685
scE_519;0.02112320840661386;0.0;0.30096800704832954;0.0;0.025654237197995262
scE_527.5;0.022112500531748465;0.0;0.2946315794443886;0.0;0.025382920845097832
scE_536;0.023198551599869804;0.0;0.29043191628129505;0.0;0.02520148386951468
scE_544.5;0.024355503730461917;0.0;0.2923901728598094;0.0;0.02528624833773194
scE_553;0.02554141376506559;0.0;0.3030718923799793;0.0;0.025743688452265833
scE_561.5;0.026687769889695467;0.0;0.32628248203709354;0.0;0.02671060950288972
scE_570;0.0277373490570934;0.004243988159848833;0.35639059234253234;0.0;0.027914878364372515
scE_578.5;0.02863798510075272;0.0;0.38213622405300274;0.0;0.02890476911695261
scE_587;0.029230667213774996;0.0;0.39610288730992277;0.0;0.02942779852745554
scE_595.5;0.02940091723934452;0.0;0.40357402288370986;0.0;0.02970378721294453
scE_604;0.029592387945148676;0.0;0.42105911399387874;0.0;0.030339852044486415
scE_612.5;0.029851383836326986;0.0;0.45949053176805255;0.0;0.03169289869232651
scE_621;0.03019188631638574;0.0;0.5162413374667142;0.0;0.033591015304434986
scE_629.5;0.030647565343064367;0.0;0.5791061732811554;0.0;0.035575089754028025
scE_638;0.0311967586968477;0.0;0.6445469388332613;0.0;0.03752866616717006
scE_646.5;0.031462558661927535;0.01941961627276223;0.7187620728908564;0.0;0.03962718468015613
scE_655;0.03160774283531243;0.023557895880003343;0.7986866556858592;0.0;0.041768698498566084
scE_663.5;0.03176112222175808;0.0060262258181729145;0.8772926253507863;0.0;0.043772130587587776
scE_672;0.031922770960706975;0.012349378194465466;0.9475435423067436;0.0;0.04548746361327061
scE_680.5;0.03209116493867278;0.0;1.005309039618191;0.0;0.046850533182000074
scE_689;0.03226633265531574;0.02187322301266903;1.0531451559657812;0.0;0.047949731817263586
scE_697.5;0.032435436499127876;0.03180241548515328;1.0959962327763069;0.0;0.04891322325614981
scE_706;0.03258903670781702;0.0387701214271714;1.134584520555423;0.0;0.049764757040081854
scE_714.5;0.032726280619408674;0.03624671024560078;1.168377126547907;0.0;0.05049855692783617
scE_723;0.03285061873412712;0.020679523572720182;1.1969211377515647;0.0;0.05111009463118362
scE_731.5;0.032964282816113535;0.006281891880972612;1.2212131127122694;0.0;0.05162477050712873
scE_740;0.033072213179407235;0.017155919436649736;1.2420860918526855;0.0;0.05206290087260876
scE_748.5;0.03317825277520546;0.02033461298242667;1.2607681244591271;0.0;0.05245190557666793
scE_757;0.033283407100834696;0.01740110855756738;1.2783321397129652;0.0;0.052814988808650126
scE_765.5;0.03338366356049235;0.005706549567029651;1.2963900344111243;0.0;0.05318566867434666
scE_774;0.03350264229568523;0.005113833644210697;1.3158905480089873;0.0;0.05358304946515637
scE_782.5;0.03365027949193587;0.0032590085981087924;1.3374830644749651;0.0;0.05401961169261625
scE_791;0.03381791574155991;0.0;1.36168357255132;0.0;0.05450469906144198
scE_799.5;0.03400548974170253;0.0;1.3893662375470037;0.0;0.05505428203852176
scE_808;0.03420382333666378;0.0;1.4208959968124346;0.0;0.05567355355383892
scE_816.5;0.03443142149973234;0.0013383546767116172;1.45546813069347;0.0;0.05634466118401577
scE_825;0.03453250936878722;0.009485061966178598;1.4935707836659853;0.0;0.05707504725395741
scE_833.5;0.03398425690295237;0.011426936672478405;1.534502448331358;0.0;0.05784925668187109
scE_842;0.03344599802896845;0.010065394460466948;1.5776684140626298;0.0;0.05865451046087717
scE_850.5;0.03291704505600375;0.010023100647869487;1.621920119524113;0.0;0.05946854685893895
scE_859;0.03229746874731134;0.0051090146846344275;1.6661954970782644;0.0;0.06027186244573552
scE_867.5;0.03166030333170538;0.01722120845297992;1.709194891589558;0.0;0.06104176325971405
scE_876;0.031046626657384207;0.022059132828037953;1.749797636925377;0.0;0.06175981266637501
scE_884.5;0.03045795623350661;0.010671739724243068;1.7873217604598899;0.0;0.06241596183968364
scE_893;0.029891879929266715;0.00235743090185192;1.8213066675043668;0.0;0.06300423606329071
scE_901.5;0.02934814132656665;0.0;1.8516986002714741;0.0;0.06352562949062865
scE_910;0.028831692757268573;0.009707717784299685;1.8781599936116025;0.0;0.06397607595531023
scE_918.5;0.02834006450715384;0.020257063544756537;1.9002667284759134;0.0;0.06434993716138412
scE_927;0.027868709561699453;0.020348572129268216;1.9195883921671828;0.0;0.06467489909972483
