feature;Variance;rMID_per_Score;FScore;Lasso_importance;Correlation
Sand;194.64093407198501;0.03803878041572162;48.82480976017538;0.0006338704613541437;-0.31130099234829905
Clay;146.02643479260135;0.016860703576670133;30.232552677295924;0.0005986837461692214;0.24961026700553077
Silt;73.42663627788498;0.0;11.17572529301589;0.0;0.1548328227261181
scE_400;0.021241949700481613;0.035321244948423924;10.719181464424912;0.0;0.15171158610934052
scE_408.5;0.02030303851481588;0.08793973134710154;7.530394544570529;0.0;0.12759648978580854
scE_417;0.019757910177136732;0.08969562876782566;5.438615342088832;0.0;0.10868217024278957
scE_425.5;0.019273089795197648;0.1321574568625632;3.7029938378775022;0.0;0.08984847440378343
scE_434;0.018889803533141614;0.1076657318096208;2.27179726090004;0.0;0.07048514175135502
scE_442.5;0.018670917844709364;0.057929138558858284;1.2910477521864603;0.0;0.053192472638127784
scE_451;0.018485369180941454;0.05117681365997129;0.7499064796522908;0.0;0.04056395189281506
scE_459.5;0.018319921786295896;0.045656718529965;0.4916545354281063;0.0;0.032854118009391545
scE_468;0.0182406256822201;0.04434142389173612;0.3765324345033086;0.0;0.02875516561578859
scE_476.5;0.01825930129543384;0.060162837629686994;0.3600328490543221;0.0;0.02811859449513497
scE_485;0.01845413470773595;0.05080492371481693;0.4695490848164607;0.0;0.03210782044914148
scE_493.5;0.01887311361408439;0.04296228519576761;0.7255543171611972;0.0;0.039900953532445535
scE_502;0.019455759882875578;0.07731735821944552;1.1143025169362724;0.0;0.04942705222201682
scE_510.5;0.020176782039045153;0.04050357493747114;1.6287267183118854;0.0;0.059723121085994015
scE_519;0.021026604181869513;0.0043556000383730975;2.288246826935301;0.0;0.07073859256783023
scE_527.5;0.02201270999244488;0.012490309468255134;3.1242184167300056;0.0;0.08258079672400116
scE_536;0.023097051896851226;0.04003951148863738;4.1320007092718605;0.0;0.09486617976184425
scE_544.5;0.0242545708491211;0.02237624167853136;5.312746131979383;0.0;0.10743184432825917
scE_553;0.025443706154112823;0.02220718217949802;6.69394408197226;0.0;0.12041038667284913
scE_561.5;0.026595523134799588;0.043662791915902055;8.274660702759142;0.0;0.13364595665868884
scE_570;0.027652020417284654;0.06825136452978509;9.960538292230943;0.0;0.1463636923511246
scE_578.5;0.02856015205324135;0.08343615933101667;11.569965700459441;0.0;0.15747356025351
scE_587;0.029160274378987345;0.0871437126948611;12.939248178961021;0.0;0.16628756924854218
scE_595.5;0.02933777427610031;0.08510547149550929;14.132041847728116;0.0;0.17356210519641885
